id_municipio,uf,municipio,longitude,latitude,file_name
114,AL,São Luís do Quitunde,-35.560553,-9.31816,sao_luis_do_quitunde_al.png
115,AL,São Miguel dos Campos,-36.097142,-9.78301,sao_miguel_dos_campos_al.png
116,AL,São Miguel dos Milagres,-35.376253,-9.264925,sao_miguel_dos_milagres_al.png
117,AL,São Sebastião,-36.558967,-9.930434,sao_sebastiao_al.png
120,AL,Tanque d`Arca,-36.43661,-9.533788,tanque_d`arca_al.png
121,AL,Taquarana,-36.492844,-9.64529,taquarana_al.png
122,AL,Teotônio Vilela,-36.349212,-9.916562,teotonio_vilela_al.png
123,AL,Traipu,-37.007119,-9.962625,traipu_al.png
124,AL,União dos Palmares,-36.02227,-9.15921,uniao_dos_palmares_al.png
125,AL,Viçosa,-36.243107,-9.367631,vicosa_al.png
24,AL,Água Branca,-37.937988,-9.261996,agua_branca_al.png
126,AM,Alvarães,-64.800654,-3.22727,alvaraes_am.png
127,AM,Amaturá,-68.200456,-3.374547,amatura_am.png
166,AM,Anamã,-61.396337,-3.566966,anama_am.png
128,AM,Anori,-61.657485,-3.746027,anori_am.png
129,AM,Apuí,-59.895956,-7.194091,apui_am.png
130,AM,Atalaia do Norte,-70.1967,-4.370551,atalaia_do_norte_am.png
131,AM,Autazes,-59.125589,-3.585743,autazes_am.png
132,AM,Barcelos,-62.931053,-0.983373,barcelos_am.png
133,AM,Barreirinha,-57.067897,-2.798863,barreirinha_am.png
134,AM,Benjamin Constant,-70.034157,-4.37768,benjamin_constant_am.png
135,AM,Beruri,-61.36162,-3.898736,beruri_am.png
136,AM,Boa Vista do Ramos,-57.587333,-2.974087,boa_vista_do_ramos_am.png
137,AM,Boca do Acre,-67.391926,-8.742322,boca_do_acre_am.png
138,AM,Borba,-59.58738,-4.391539,borba_am.png
139,AM,Caapiranga,-61.220557,-3.315372,caapiranga_am.png
140,AM,Canutama,-64.39528,-6.52582,canutama_am.png
141,AM,Carauari,-66.908559,-4.881605,carauari_am.png
142,AM,Careiro,-60.369046,-3.768027,careiro_am.png
143,AM,Careiro da Várzea,-59.79639,-3.196979,careiro_da_varzea_am.png
144,AM,Coari,-63.144091,-4.094121,coari_am.png
145,AM,Codajás,-62.065787,-3.830528,codajas_am.png
146,AM,Eirunepé,-69.86616,-6.656767,eirunepe_am.png
147,AM,Envira,-70.028143,-7.437889,envira_am.png
148,AM,Fonte Boa,-66.094212,-2.523424,fonte_boa_am.png
149,AM,Guajará,-72.590713,-7.537971,guajara_am.png
150,AM,Humaitá,-63.032743,-7.511712,humaita_am.png
151,AM,Ipixuna,-71.693426,-7.047909,ipixuna_am.png
152,AM,Iranduba,-60.189953,-3.274792,iranduba_am.png
153,AM,Itacoatiara,-58.444874,-3.138607,itacoatiara_am.png
154,AM,Itamarati,-68.260027,-6.424591,itamarati_am.png
155,AM,Itapiranga,-58.029257,-2.74081,itapiranga_am.png
156,AM,Japurá,-66.929051,-1.882366,japura_am.png
157,AM,Juruá,-66.071795,-3.484384,jurua_am.png
158,AM,Jutaí,-66.75947,-2.758144,jutai_am.png
159,AM,Lábrea,-64.794765,-7.264133,labrea_am.png
160,AM,Manacapuru,-60.621581,-3.290657,manacapuru_am.png
161,AM,Manaquiri,-60.461239,-3.440784,manaquiri_am.png
162,AM,Manaus,-60.02123,-3.118662,manaus_am.png
163,AM,Manicoré,-61.289483,-5.804618,manicore_am.png
164,AM,Maraã,-65.572995,-1.853129,maraa_am.png
165,AM,Maués,-57.706731,-3.392891,maues_am.png
167,AM,Nhamundá,-56.711151,-2.207932,nhamunda_am.png
168,AM,Nova Olinda do Norte,-59.09404,-3.900367,nova_olinda_do_norte_am.png
169,AM,Novo Airão,-60.943404,-2.636371,novo_airao_am.png
170,AM,Novo Aripuanã,-60.373179,-5.125929,novo_aripuana_am.png
171,AM,Parintins,-56.729045,-2.637412,parintins_am.png
172,AM,Pauini,-66.992039,-7.713109,pauini_am.png
173,AM,Presidente Figueiredo,-60.02338,-2.029813,presidente_figueiredo_am.png
174,AM,Rio Preto da Eva,-59.685793,-2.704497,rio_preto_da_eva_am.png
175,AM,Santa Isabel do Rio Negro,-65.009205,-0.410824,santa_isabel_do_rio_negro_am.png
176,AM,Santo Antônio do Içá,-67.946279,-3.095443,santo_antonio_do_ica_am.png
180,AM,Silves,-58.248031,-2.81748,silves_am.png
177,AM,São Gabriel da Cachoeira,-67.084042,-0.11909,sao_gabriel_da_cachoeira_am.png
178,AM,São Paulo de Olivença,-68.964581,-3.472919,sao_paulo_de_olivenca_am.png
179,AM,São Sebastião do Uatumã,-57.873049,-2.559147,sao_sebastiao_do_uatuma_am.png
181,AM,Tabatinga,-69.938273,-4.241597,tabatinga_am.png
182,AM,Tapauá,-63.1808,-5.620855,tapaua_am.png
183,AM,Tefé,-64.719343,-3.368219,tefe_am.png
184,AM,Tonantins,-67.791904,-2.865825,tonantins_am.png
185,AM,Uarini,-65.113298,-2.996087,uarini_am.png
186,AM,Urucará,-57.753797,-2.529364,urucara_am.png
187,AM,Urucurituba,-58.149637,-3.128412,urucurituba_am.png
188,AP,Amapá,-50.795653,2.052669,amapa_ap.png
189,AP,Calçoene,-50.951233,2.504747,calcoene_ap.png
190,AP,Cutias,-50.799169,0.987565,cutias_ap.png
191,AP,Ferreira Gomes,-51.179523,0.857256,ferreira_gomes_ap.png
192,AP,Itaubal,-50.670828,0.596137,itaubal_ap.png
193,AP,Laranjal do Jari,-52.452962,-0.804911,laranjal_do_jari_ap.png
194,AP,Macapá,-51.069395,0.034934,macapa_ap.png
195,AP,Mazagão,-51.28913,-0.11336,mazagao_ap.png
196,AP,Oiapoque,-51.833123,3.84074,oiapoque_ap.png
197,AP,Pedra Branca do Amaparí,-51.950306,0.777424,pedra_branca_do_amapari_ap.png
198,AP,Porto Grande,-51.415499,0.71243,porto_grande_ap.png
199,AP,Pracuúba,-50.789248,1.745427,pracuuba_ap.png
200,AP,Santana,-51.172924,-0.045434,santana_ap.png
201,AP,Serra do Navio,-52.003636,0.901357,serra_do_navio_ap.png
202,AP,Tartarugalzinho,-50.90874,1.506519,tartarugalzinho_ap.png
203,AP,Vitória do Jari,-52.424001,-0.938,vitoria_do_jari_ap.png
205,BA,Abaré,-39.116178,-8.720734,abare_ba.png
204,BA,Abaíra,-41.661869,-13.24883,abaira_ba.png
206,BA,Acajutiba,-38.019737,-11.657522,acajutiba_ba.png
207,BA,Adustina,-38.111265,-10.54369,adustina_ba.png
209,BA,Aiquara,-39.893653,-14.126918,aiquara_ba.png
210,BA,Alagoinhas,-38.420772,-12.133526,alagoinhas_ba.png
211,BA,Alcobaça,-39.203609,-17.519468,alcobaca_ba.png
212,BA,Almadina,-39.641491,-14.708869,almadina_ba.png
213,BA,Amargosa,-39.601966,-13.021462,amargosa_ba.png
214,BA,Amélia Rodrigues,-38.756289,-12.391429,amelia_rodrigues_ba.png
215,BA,América Dourada,-41.439007,-11.442938,america_dourada_ba.png
216,BA,Anagé,-41.135569,-14.61512,anage_ba.png
217,BA,Andaraí,-41.329658,-12.804916,andarai_ba.png
218,BA,Andorinha,-39.839142,-10.348214,andorinha_ba.png
219,BA,Angical,-44.700272,-12.006313,angical_ba.png
220,BA,Anguera,-39.246186,-12.146157,anguera_ba.png
221,BA,Antas,-38.340118,-10.385621,antas_ba.png
222,BA,Antônio Cardoso,-39.117555,-12.433493,antonio_cardoso_ba.png
223,BA,Antônio Gonçalves,-40.278489,-10.576686,antonio_goncalves_ba.png
224,BA,Aporá,-38.081418,-11.657708,apora_ba.png
225,BA,Apuarema,-39.750148,-13.854241,apuarema_ba.png
227,BA,Aracatu,-41.464783,-14.427986,aracatu_ba.png
228,BA,Araci,-38.958385,-11.325316,araci_ba.png
229,BA,Aramari,-38.496937,-12.088399,aramari_ba.png
230,BA,Arataca,-39.419017,-15.265099,arataca_ba.png
231,BA,Aratuípe,-39.003763,-13.071595,aratuipe_ba.png
226,BA,Araças,-38.202658,-12.220038,aracas_ba.png
232,BA,Aurelino Leal,-39.329035,-14.320954,aurelino_leal_ba.png
233,BA,Baianópolis,-44.538829,-12.301641,baianopolis_ba.png
234,BA,Baixa Grande,-40.16897,-11.951884,baixa_grande_ba.png
235,BA,Banzaê,-38.621243,-10.578784,banzae_ba.png
236,BA,Barra,-43.145913,-11.0859,barra_ba.png
237,BA,Barra da Estiva,-41.334697,-13.623699,barra_da_estiva_ba.png
238,BA,Barra do Choça,-40.579058,-14.865423,barra_do_choca_ba.png
239,BA,Barra do Mendes,-42.058999,-11.81,barra_do_mendes_ba.png
240,BA,Barra do Rocha,-39.599098,-14.199994,barra_do_rocha_ba.png
241,BA,Barreiras,-44.996838,-12.143864,barreiras_ba.png
242,BA,Barro Alto,-41.905441,-11.760493,barro_alto_ba.png
342,BA,Barro Preto,-39.476029,-14.794773,barro_preto_ba.png
5627,BA,Barrocas,-39.077594,-11.527222,barrocas_ba.png
243,BA,Belmonte,-38.87578,-15.860789,belmonte_ba.png
244,BA,Belo Campo,-41.265172,-15.033362,belo_campo_ba.png
245,BA,Biritinga,-38.805055,-11.607156,biritinga_ba.png
246,BA,Boa Nova,-40.206444,-14.359754,boa_nova_ba.png
247,BA,Boa Vista do Tupim,-40.606376,-12.649774,boa_vista_do_tupim_ba.png
248,BA,Bom Jesus da Lapa,-43.410754,-13.250571,bom_jesus_da_lapa_ba.png
249,BA,Bom Jesus da Serra,-40.512556,-14.366312,bom_jesus_da_serra_ba.png
250,BA,Boninal,-41.828604,-12.706887,boninal_ba.png
251,BA,Bonito,-41.264698,-11.966768,bonito_ba.png
252,BA,Boquira,-42.732354,-12.820536,boquira_ba.png
253,BA,Botuporã,-42.516301,-13.377235,botupora_ba.png
255,BA,Brejolândia,-43.967855,-12.481547,brejolandia_ba.png
254,BA,Brejões,-39.798797,-13.103948,brejoes_ba.png
256,BA,Brotas de Macaúbas,-42.632609,-11.991452,brotas_de_macaubas_ba.png
257,BA,Brumado,-41.669592,-14.202127,brumado_ba.png
258,BA,Buerarema,-39.302849,-14.959497,buerarema_ba.png
259,BA,Buritirama,-43.630231,-10.717055,buritirama_ba.png
260,BA,Caatiba,-40.409156,-14.969854,caatiba_ba.png
261,BA,Cabaceiras do Paraguaçu,-39.190231,-12.531694,cabaceiras_do_paraguacu_ba.png
262,BA,Cachoeira,-38.958695,-12.599443,cachoeira_ba.png
263,BA,Caculé,-42.222872,-14.500281,cacule_ba.png
265,BA,Caetanos,-40.917506,-14.334745,caetanos_ba.png
266,BA,Caetité,-42.486133,-14.068422,caetite_ba.png
267,BA,Cafarnaum,-41.468823,-11.691399,cafarnaum_ba.png
268,BA,Cairu,-39.046525,-13.490377,cairu_ba.png
269,BA,Caldeirão Grande,-40.295577,-11.020798,caldeirao_grande_ba.png
270,BA,Camacan,-39.491937,-15.414157,camacan_ba.png
272,BA,Camamu,-39.107082,-13.939773,camamu_ba.png
271,BA,Camaçari,-38.326265,-12.699638,camacari_ba.png
273,BA,Campo Alegre de Lourdes,-43.01258,-9.522212,campo_alegre_de_lourdes_ba.png
274,BA,Campo Formoso,-40.320031,-10.51055,campo_formoso_ba.png
276,BA,Canarana,-41.767705,-11.685831,canarana_ba.png
277,BA,Canavieiras,-38.953648,-15.672205,canavieiras_ba.png
278,BA,Candeal,-39.120277,-11.804851,candeal_ba.png
279,BA,Candeias,-38.547152,-12.671566,candeias_ba.png
280,BA,Candiba,-42.866694,-14.409738,candiba_ba.png
282,BA,Cansanção,-39.494388,-10.664713,cansancao_ba.png
283,BA,Canudos,-39.147059,-9.900135,canudos_ba.png
275,BA,Canápolis,-44.200949,-13.072454,canapolis_ba.png
284,BA,Capela do Alto Alegre,-39.834912,-11.665797,capela_do_alto_alegre_ba.png
285,BA,Capim Grosso,-40.008951,-11.379659,capim_grosso_ba.png
287,BA,Caravelas,-39.259679,-17.726839,caravelas_ba.png
286,BA,Caraíbas,-41.260336,-14.717677,caraibas_ba.png
288,BA,Cardeal da Silva,-37.946905,-11.947191,cardeal_da_silva_ba.png
289,BA,Carinhanha,-43.772349,-14.298524,carinhanha_ba.png
290,BA,Casa Nova,-40.973977,-9.164083,casa_nova_ba.png
291,BA,Castro Alves,-39.424753,-12.75795,castro_alves_ba.png
292,BA,Catolândia,-44.864808,-12.310013,catolandia_ba.png
293,BA,Catu,-38.379108,-12.351274,catu_ba.png
294,BA,Caturama,-42.290385,-13.323938,caturama_ba.png
264,BA,Caém,-40.432039,-11.067693,caem_ba.png
